COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"66000","臺中市","66000080","北屯區",89.9900000000000000,2.43,4959.30,41.05,19.74,21.31,107.93,"113Y12M"
"66000","臺中市","66000090","豐原區",96.3000000000000000,2.79,3961.76,46.10,19.27,26.84,139.31,"113Y12M"
"66000","臺中市","66000100","東勢區",103.2100000000000000,2.60,401.07,50.37,13.64,36.74,269.41,"113Y12M"
"66000","臺中市","66000110","大甲區",99.9700000000000000,2.89,1268.06,47.02,20.00,27.03,135.18,"113Y12M"
"66000","臺中市","66000120","清水區",103.7200000000000000,2.67,1410.31,42.84,17.70,25.14,142.03,"113Y12M"
"66000","臺中市","66000130","沙鹿區",100.1200000000000000,2.77,2475.31,42.38,22.37,20.01,89.46,"113Y12M"
"66000","臺中市","66000140","梧棲區",99.7100000000000000,2.76,3776.05,41.05,19.88,21.17,106.46,"113Y12M"
"66000","臺中市","66000150","后里區",100.5300000000000000,2.95,904.40,44.05,17.80,26.25,147.47,"113Y12M"
"66000","臺中市","66000160","神岡區",103.6300000000000000,2.97,1826.45,41.41,16.39,25.02,152.61,"113Y12M"
"66000","臺中市","66000170","潭子區",96.7700000000000000,2.70,4232.74,38.54,17.01,21.54,126.65,"113Y12M"
"66000","臺中市","66000180","大雅區",98.2600000000000000,2.91,2938.18,38.82,19.16,19.65,102.56,"113Y12M"
"66000","臺中市","66000190","新社區",106.5700000000000000,2.81,331.69,46.67,12.87,33.80,262.59,"113Y12M"
"66000","臺中市","66000200","石岡區",105.6200000000000000,2.76,762.03,47.72,12.66,35.06,277.04,"113Y12M"
"66000","臺中市","66000210","外埔區",103.6800000000000000,2.91,728.65,39.87,14.69,25.17,171.35,"113Y12M"
"66000","臺中市","66000220","大安區",110.8700000000000000,3.00,1566.09,40.79,12.25,28.54,233.01,"113Y12M"
"66000","臺中市","66000230","烏日區",98.1300000000000000,2.58,1872.77,40.72,19.02,21.69,114.03,"113Y12M"
"66000","臺中市","66000240","大肚區",103.0800000000000000,2.81,1505.52,41.28,15.97,25.32,158.59,"113Y12M"
"66000","臺中市","66000250","龍井區",100.1600000000000000,2.87,2077.68,37.56,17.25,20.30,117.69,"113Y12M"
